Gene,Importance
Gene_9,0.15166666666666667
Gene_4,0.11414918414918414
Gene_15,0.10363636363636364
Gene_2,0.09922299922299922
Gene_18,0.06451955451955453
Gene_17,0.06319234006734006
Gene_14,0.05702479338842975
Gene_6,0.04342657342657343
Gene_11,0.04297520661157025
Gene_7,0.04037296037296038
Gene_19,0.03636363636363636
Gene_5,0.0362962962962963
Gene_1,0.03185185185185185
Gene_12,0.02863636363636364
Gene_13,0.023636363636363636
Gene_10,0.02
Gene_8,0.02
Gene_3,0.016153846153846158
Gene_16,0.006874999999999997
Gene_20,0.0
